file,label,quality
train_cardboard_000.jpg,cardboard,PHOTO
train_cardboard_001.jpg,cardboard,DIGITAL
train_cardboard_002.jpg,cardboard,DIGITAL
train_cardboard_003.jpg,cardboard,DIGITAL
train_cardboard_004.jpg,cardboard,DIGITAL
train_cardboard_005.jpg,cardboard,PHOTO
train_cardboard_006.jpg,cardboard,PHOTO
train_cardboard_007.jpg,cardboard,DIGITAL
train_cardboard_008.jpg,cardboard,DIGITAL
train_cardboard_009.jpg,cardboard,DIGITAL
train_cardboard_010.jpg,cardboard,DIGITAL
train_cardboard_011.jpg,cardboard,DIGITAL
train_cardboard_012.jpg,cardboard,DIGITAL
train_cardboard_013.jpg,cardboard,DIGITAL
train_cardboard_014.jpg,cardboard,DIGITAL
train_cardboard_015.jpg,cardboard,DIGITAL
train_cardboard_016.jpg,cardboard,DIGITAL
train_cardboard_017.jpg,cardboard,DIGITAL
train_cardboard_018.jpg,cardboard,PHOTO
train_cardboard_019.jpg,cardboard,DIGITAL
train_cardboard_020.jpg,cardboard,DIGITAL
train_cardboard_021.jpg,cardboard,DIGITAL
train_cardboard_022.jpg,cardboard,DIGITAL
train_cardboard_023.jpg,cardboard,DIGITAL
train_cardboard_024.jpg,cardboard,DIGITAL
train_cardboard_025.jpg,cardboard,DIGITAL
train_cardboard_026.jpg,cardboard,DIGITAL
train_cardboard_027.jpg,cardboard,DIGITAL
train_cardboard_028.jpg,cardboard,DIGITAL
train_cardboard_029.jpg,cardboard,DIGITAL
train_cardboard_030.jpg,cardboard,DIGITAL
train_cardboard_031.jpg,cardboard,DIGITAL
train_cardboard_032.jpg,cardboard,DIGITAL
train_cardboard_033.jpg,cardboard,DIGITAL
train_cardboard_034.jpg,cardboard,DIGITAL
train_cardboard_035.jpg,cardboard,DIGITAL
train_cardboard_036.jpg,cardboard,DIGITAL
train_cardboard_037.jpg,cardboard,PHOTO
train_cardboard_038.jpg,cardboard,PHOTO
train_cardboard_039.jpg,cardboard,DIGITAL
train_cardboard_040.jpg,cardboard,PHOTO
train_cardboard_041.jpg,cardboard,DIGITAL
train_cardboard_042.jpg,cardboard,DIGITAL
train_cardboard_043.jpg,cardboard,DIGITAL
train_cardboard_044.jpg,cardboard,DIGITAL
train_cardboard_045.jpg,cardboard,DIGITAL
train_cardboard_046.jpg,cardboard,DIGITAL
train_cardboard_047.jpg,cardboard,DIGITAL
train_cardboard_048.jpg,cardboard,DIGITAL
train_cardboard_049.jpg,cardboard,DIGITAL
train_cardboard_050.jpg,cardboard,DIGITAL
train_cardboard_051.jpg,cardboard,DIGITAL
train_cardboard_052.jpg,cardboard,DIGITAL
train_cardboard_053.jpg,cardboard,DIGITAL
train_cardboard_054.jpg,cardboard,DIGITAL
train_cardboard_055.jpg,cardboard,DIGITAL
train_cardboard_056.jpg,cardboard,DIGITAL
train_cardboard_057.jpg,cardboard,PHOTO
train_cardboard_058.jpg,cardboard,DIGITAL
train_cardboard_059.jpg,cardboard,DIGITAL
train_cardboard_060.jpg,cardboard,DIGITAL
train_cardboard_061.jpg,cardboard,DIGITAL
train_cardboard_062.jpg,cardboard,DIGITAL
train_cardboard_063.jpg,cardboard,DIGITAL
train_cardboard_064.jpg,cardboard,DIGITAL
train_cardboard_065.jpg,cardboard,DIGITAL
train_cardboard_066.jpg,cardboard,DIGITAL
train_cardboard_067.jpg,cardboard,DIGITAL
train_cardboard_068.jpg,cardboard,DIGITAL
train_cardboard_069.jpg,cardboard,DIGITAL
train_cardboard_070.jpg,cardboard,DIGITAL
train_cardboard_071.jpg,cardboard,DIGITAL
train_cardboard_072.jpg,cardboard,DIGITAL
train_cardboard_073.jpg,cardboard,DIGITAL
train_cardboard_074.jpg,cardboard,DIGITAL
train_cardboard_075.jpg,cardboard,DIGITAL
train_cardboard_076.jpg,cardboard,PHOTO
train_cardboard_077.jpg,cardboard,DIGITAL
train_cardboard_078.jpg,cardboard,DIGITAL
train_cardboard_079.jpg,cardboard,DIGITAL
train_cardboard_080.jpg,cardboard,PHOTO
train_cardboard_081.jpg,cardboard,DIGITAL
train_cardboard_082.jpg,cardboard,PHOTO
train_cardboard_083.jpg,cardboard,DIGITAL
train_cardboard_084.jpg,cardboard,DIGITAL
train_cardboard_085.jpg,cardboard,DIGITAL
train_cardboard_086.jpg,cardboard,PHOTO
train_cardboard_087.jpg,cardboard,DIGITAL
train_cardboard_088.jpg,cardboard,PHOTO
train_cardboard_089.jpg,cardboard,DIGITAL
train_cardboard_090.jpg,cardboard,DIGITAL
train_cardboard_091.jpg,cardboard,PHOTO
train_cardboard_092.jpg,cardboard,DIGITAL
train_cardboard_093.jpg,cardboard,DIGITAL
train_cardboard_094.jpg,cardboard,DIGITAL
train_cardboard_095.jpg,cardboard,PHOTO
train_cardboard_096.jpg,cardboard,DIGITAL
